,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
415,470599,82,Male,Some college,Black,always,1,,,,,,,,,,1,1
416,470600,63,Female,High school or less,Black,rarely/never,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,1
417,470601,76,Female,College,Black,always,1,,,,,,,,,,1,1
418,470602,43,Male,College,Hispanic,always,1,,,,,,,,,,1,1
419,470605,61,Male,Some college,Black,always,1,,,,,,,,,,1,1
420,470607,78,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
421,470608,41,Female,High school or less,White,rarely/never,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
422,470609,52,Male,College,White,always,1,,,,,,,,,,1,2
423,470612,56,Female,Some college,White,always,1,,,,,,,,,,1,1
424,470613,54,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
425,470614,32,Male,High school or less,White,rarely/never,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
426,470615,69,Female,High school or less,White,sporadic,1,,,,,,,,,,3,1
427,470617,45,Male,College,White,always,1,,,,,,,,,,2,1
428,470618,78,Female,College,Hispanic,sporadic,1,,,,,,,,,,1,1
429,470619,81,Female,High school or less,White,always,1,,,,,,,,,,4,1
430,470621,69,Female,Some college,White,sporadic,1,,,,,,,,,,1,1
431,470623,69,Male,College,White,always,1,,,,,,,,,,1,1
432,470625,72,Male,College,White,sporadic,1,,,,,,,,,,1,2
433,470626,73,Female,High school or less,White,always,1,,,,,,,,,,1,1
434,470628,68,Male,High school or less,White,sporadic,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
435,470629,82,Male,High school or less,White,rarely/never,1,,,,,,,,,,1,2
436,470630,60,Male,Some college,White,always,1,,,,,,,,,,1,2
437,470631,71,Female,High school or less,White,always,1,,,,,,,,,,1,1
438,470632,62,Male,High school or less,Black,sporadic,1,,,,,,,,,,2,1
439,470633,58,Male,College,Other/Mixed,sporadic,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2,1
440,470634,75,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
441,470636,61,Female,College,Black,always,1,,,,,,,,,,1,1
442,470637,56,Female,College,White,always,1,,,,,,,,,,2,1
443,470640,63,Female,Some college,White,always,1,,,,,,,,,,1,1
444,470641,59,Male,High school or less,White,always,1,,,,,,,,,,1,1
445,470643,49,Female,Some college,White,always,1,,,,,,,,,,1,1
446,470645,88,Male,High school or less,White,sporadic,1,,,,,,,,,,1,2
447,470646,60,Male,College,White,always,1,,,,,,,,,,3,1
448,470647,62,Female,College,White,always,1,,,,,,,,,,3,1
449,470648,72,Male,High school or less,White,always,1,,,,,,,,,,1,2
450,470649,74,Male,College,White,always,1,,,,,,,,,,1,1
451,470650,87,Male,High school or less,White,always,1,,,,,,,,,,1,1
452,470651,72,Male,Some college,White,rarely/never,3,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
453,470652,87,Male,College,Black,sporadic,1,,,,,,,,,,1,1
454,470653,50,Female,Some college,Other/Mixed,rarely/never,1,,,,,,,,,,1,1
455,470654,28,Female,College,Black,sporadic,1,,,,,,,,,,1,1
456,470655,52,Male,College,White,rarely/never,1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2,1
457,470657,41,Male,College,White,sporadic,1,,,,,,,,,,1,2
458,470659,81,Female,High school or less,Other/Mixed,sporadic,1,,,,,,,,,,1,1
459,470660,62,Male,College,Black,always,1,,,,,,,,,,3,1
460,470662,71,Male,College,Hispanic,always,1,,,,,,,,,,3,2
461,470663,70,Male,Some college,Black,rarely/never,1,,,,,,,,,,1,2
462,470664,50,Male,College,Other/Mixed,always,1,,,,,,,,,,2,1
463,470665,71,Female,High school or less,White,always,2,,,,,,,,,,2,1
